ticker,company,asset,indication,stage,anchor,conf,pres_type,year,parsed_outcome,price_at_catalyst,btd,orphan,priority_review,fast_track,accelerated_approval,gene_therapy,surrogate_endpoint,single_arm_study,safety_signal_severity,ta_bucket_v2,ta_base_score,historical_crl_rate,sponsor_prior_approvals,had_adcom,ppm_flag,src,cap_tier,Drug,Indication,market_cap,size_tier,ta,key,mcap_fmp,si_t1_days_to_cover,si_t1_short_to_adv,si_t1_change_pct,cap_tier_final,conf_full,runup_30d,runup_20d,runup_10d,runup_5d,event_day,post_5d,post_10d,cap_tier_pit,mcap_pit
MURA,Mural Oncology plc,Nemvaleukin (ALKS 4230) - (ARTISTRY-3),Solid Tumors,Phase 2,2024-05-23,ASCO,unspecified,2024,UNKNOWN,3.59,,,,,,,,,,,,,,,,backtest,,,,,,,MURA|2024-05-23,,,,,,,-12.33,6.8,-0.79,-3.08,-4.77,-10.88,-11.14,,
XOMA,XOMA Royalty Corporation,Nemvaleukin (ALKS 4230) - (ARTISTRY-3),Solid Tumors,Phase 2,2024-05-23,ASCO,unspecified,2024,UNKNOWN,,,,,,,,,,,,,,,,,backtest,,,,,,,XOMA|2024-05-23,307502280.0,,,,small,,-3.82,-0.63,6.37,-1.79,-1.15,2.34,-4.56,micro,293291544.47951126
ALKS,Alkermes plc,Nemvaleukin (ALKS 4230) - (ARTISTRY-3),Solid Tumors,Phase 2,2024-05-23,ASCO,unspecified,2024,UNKNOWN,24.0,,,,,,,,,,,,,,,,backtest,,,,,,,ALKS|2024-05-23,4756673920.0,,,,mid,,-3.12,-0.94,-0.21,-1.02,-0.78,-3.35,-1.24,mid,4096847784.383263
ZNTL,Zentalis Pharmaceuticals Inc.,Azenosertib and gemcitabine,Relapsed or refractory (R/R) osteosarcoma,Phase 1,2024-05-23,ASCO,unspecified,2024,UNKNOWN,11.28,,,,,,,,,,,,,,,,backtest,,,,,,,ZNTL|2024-05-23,,,,,,,-10.66,9.01,-4.31,0.17,-5.93,-0.83,-11.35,small,850738498.8327217
INDP,Indaptus Therapeutics Inc.,Decoy 20,Solid tumors,Phase 1a,2024-05-22,ASCO,unspecified,2024,UNKNOWN,2.48,,,,,,,,,,,,,,,,backtest,,,,,,,INDP|2024-05-22,,,,,,,-6.75,0.0,13.53,3.52,0.43,5.53,11.91,nano,20066375.980664387
CNTB,Connect Biopharma Holdings Limited,Rademikibart - (Seabreeze STAT Asthma),Asthma,Phase 2b,2024-05-22,ATS,unspecified,2024,UNKNOWN,1.68,,,,,,,,,,,,,,,,backtest,,,,,,,CNTB|2024-05-22,,,,,,,-4.84,29.2,22.07,-2.75,1.69,-11.3,-7.34,micro,97532227.52899456
ARWR,Arrowhead Pharmaceuticals Inc.,ARO-RAGE-1001,Asthma,Phase 1/2,2024-05-20,ATS,unspecified,2024,UNKNOWN,24.82,,,,,,,,,,,,,,,,backtest,,,,,,,ARWR|2024-05-20,4613313420.0,,,,mid,,-3.62,3.55,-1.55,12.28,1.01,-3.43,2.1,mid,3076439753.9543533
AMGN,Amgen Inc.,TEZSPIRE (tezepelumab-ekko) - (COURSE),Chronic obstructive pulmonary disease (COPD),Phase 2,2024-05-20,ATS,unspecified,2024,NEGATIVE,312.35,False,True,True,True,True,False,True,True,0.0,LOW,0.061,0.463450292,25.0,False,False,backtest,,,,,,,AMGN|2024-05-20,141006240000.0,3.07,3.0655662822660084,5.48,large,,16.07,14.92,4.34,1.3,0.76,-3.93,-1.63,large,167619748864.0675
MRUS,Merus N.V.,Petosemtamab (MCLA-158),"Recurrent/metastatic (r/m) head and neck squamous cell carcinoma (HNSCC), Solid Tumors",Phase 2,2024-05-13,UNKNOWN,unspecified,2024,POSITIVE,45.85,,,,,,,,,,,,,,,,backtest,,,,,,,MRUS|2024-05-13,2700483168.25,,,,mid,,-1.15,7.87,-1.31,-5.96,0.56,-2.0,23.25,,
GMAB,Genmab A/S,Petosemtamab (MCLA-158),"Recurrent/metastatic (r/m) head and neck squamous cell carcinoma (HNSCC), Solid Tumors",Phase 2,2024-05-13,UNKNOWN,unspecified,2024,POSITIVE,,,,,,,,,,,,,,,,,backtest,,,,,,,GMAB|2024-05-13,97160077740.03,,,,large,,-4.72,-2.27,0.95,-0.65,2.39,2.95,-2.88,,
