# pdufa.bio conference run-up study, 1,425 presentations 2017-2026. License: CC BY 4.0. Tier column is point-in-time market cap. Returns in percent, anchored on the meeting start date. Not investment advice.
ticker,company,conf,year,cap_tier_pit,runup_30d,runup_20d,runup_10d,runup_5d,event_day,post_5d,post_10d
BPTH,Bio-Path Holdings Inc.,EHA,2024,nano,-24.81,-14.53,-2.91,-19.35,19.5,6.5,-3.0
HCM,HUTCHMED (China) Limited,EHA,2024,large,-4.7,-11.07,0.59,4.95,-4.08,-3.38,-5.79
GLPG,Galapagos NV,EHA,2024,,-12.67,-12.96,-7.55,-3.89,0.08,1.79,-2.76
AUTL,Autolus Therapeutics plc,EHA,2024,small,10.22,11.3,8.11,13.25,-4.86,-17.88,-23.4
MBRX,Moleculin Biotech Inc.,EHA,2024,nano,-15.53,-13.52,-8.81,0.69,-9.43,-17.01,-20.69
STTK,Shattuck Labs Inc.,EHA,2024,small,-38.38,-12.76,-7.32,-2.56,-27.19,-42.11,-41.67
ZURA,Zura Bio Limited,EULAR,2024,micro,-14.45,-37.83,-28.95,-6.98,0.0,-9.38,-2.68
TNXP,Tonix Pharmaceuticals Holding Corp.,EULAR,2024,nano,-80.09,-81.24,-79.09,-67.28,2.75,9.17,-32.84
KROS,Keros Therapeutics Inc.,EHA,2024,small,-13.31,-8.32,5.61,1.66,-9.94,-6.1,-11.58
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of),EHA,2024,large,-1.43,-1.73,-2.02,-2.9,0.69,-1.53,-0.61
IRON,Disc Medicine Inc.,EHA,2024,small,35.03,22.68,15.35,0.1,14.56,14.86,18.67
SNY,Sanofi,EHA,2024,large,-3.18,-1.16,1.28,-2.16,-4.52,-2.54,0.17
IPHA,Innate Pharma S.A.,EHA,2024,micro,-2.36,-1.2,-9.82,-6.77,-5.24,-13.71,-21.77
NVO,Novo Nordisk A/S,EASL,2024,,12.64,11.26,5.03,5.35,-0.76,-1.76,2.82
RHHBY,Roche Holding AG ADR,EASL,2024,,10.91,8.4,6.17,3.74,-0.12,3.07,6.02
CMMB,Chemomab Therapeutics Ltd.,EASL,2024,small,92.54,77.93,53.57,21.7,-20.93,-10.85,-27.91
IMMP,Immutep Limited,ESMO,2024,mid,-33.11,-26.2,-27.8,1.01,15.5,-3.0,6.5
PHGE,BiomX Inc.,ERS,2024,micro,-46.88,-37.37,-13.14,-2.46,-9.24,-17.2,-8.4
MRK,Merck & Company Inc.,ESMO,2024,large,-5.92,2.87,1.06,-0.51,-2.13,0.1,-1.88
AMGN,Amgen Inc.,WCLC,2024,large,-4.27,-0.6,-2.51,-3.98,2.61,4.59,4.69
SVRA,Savara Inc.,ERS,2024,small,-0.9,11.06,1.14,3.51,-0.45,-2.26,4.3
SMMT,Summit Therapeutics Inc.,WCLC,2024,mid,6.23,13.82,-6.19,-5.47,87.2,140.26,78.57
KALV,KalVista Pharmaceuticals Inc.,AAAAI,2024,,-10.56,-1.38,3.62,-1.0,-7.77,-13.44,-18.49
CATX,Isoray. (DE),ASCO-GI,2024,small,20.56,-2.59,-4.91,0.33,6.32,17.8,31.2
CGTX,Cognition Therapeutics Inc.,AAIC,2024,micro,7.73,42.77,23.44,26.06,-53.59,-72.32,-76.01
CRVO,CervoMed Inc.,AAIC,2024,micro,-29.0,-18.05,-22.1,-8.42,-1.0,-4.99,-13.54
OCUL,Ocular Therapeutix Inc.,ASRS,2024,small,50.94,45.72,19.58,5.26,-1.88,3.5,0.88
MRUS,Merus N.V.,UNKNOWN,2024,,22.9,-0.69,-2.74,-9.85,4.41,8.92,4.57
GMAB,Genmab A/S,UNKNOWN,2024,,-14.32,-10.54,-1.88,1.63,0.39,3.92,8.85
RPTX,Repare Therapeutics Inc.,ESMO,2024,,-7.84,4.6,-10.26,-6.06,-0.88,-6.74,4.11
NVO,Novo Nordisk A/S,ISTH,2024,,10.34,4.71,-0.64,-0.38,3.49,2.44,-1.08
