ticker,company,asset,indication,ta_bucket,pdufa_date,outcome,outcome_bin,v5_score,v5_tier,eve_price,eve_date,runup_30d,runup_21d,runup_14d,runup_7d,runup_5d,runup_3d,post_1d,post_2d,post_5d,vol_ratio,mcap_tier,cache_key,T-90_T-7,T-90_T-3,T-90_T-1,T-60_T-7,T-60_T-3,T-60_T-1,T-45_T-7,T-45_T-3,T-45_T-1,T-25_T-7,T-25_T-3,T-25_T-1,v9_score,v9_tier,therapeutic_area,crl_rate,ta_risk,mcap,T-120_T-1,T-120_T-7,T-120_T-3,T-120_peak
SNY,Sanofi,DUPIXENT (dupilumab) - (PRIME),Prurigo nodularis (PN),MOD,2022-09-28,APPROVAL,1,0.9106,T1,32.95243835449219,2022-09-27,-8.550375250848301,-8.030637417864574,-7.066160736474848,-3.9731551651862,-3.072918343918699,-3.072918343918699,2.552381931411378,2.095647700399756,7.791512758784036,1.3894444865576443,Large (>$10B),SNY_20220928,,,,-0.18951775666652612,-0.22758077724168185,-0.25767231062877266,-0.1916120724835468,-0.22957673681871105,-0.2595905125808207,-0.007080049849105156,-0.05371096965387861,-0.09057603866240549,0.885714,T1,Other,0.4010695187165775,HIGH_CRL,large,-0.296408,-0.228355,-0.260302,0.086200
REGN,Regeneron Pharmaceuticals Inc.,DUPIXENT (dupilumab) - (PRIME),Prurigo nodularis (PN),MOD,2022-09-28,APPROVAL,1,0.8316,T2,690.34619140625,2022-09-27,17.247817767888,16.526380933022295,-0.3741354349839709,1.5161500836451722,-0.3327080169705145,-0.3327080169705145,1.4978208114276903,-0.4589840779896295,6.407104395227428,0.8993080331214842,Large (>$10B),REGN_20220928,,,,0.1832002671486659,0.14762981781235568,0.15009385636350678,0.20189676533302,0.16576424475661813,0.16826721914439544,0.15316126830198717,0.11849387884172326,0.12089536056859763,0.752379,T2,Other,0.3989361702127659,HIGH_CRL,large,0.005120,0.027232,-0.004642,0.068506
CPRX,Catalyst Pharmaceuticals Inc.,FIRDAPSE,Pediatric Lambert-Eaton myasthenic syndrome (LEMS),MOD,2022-09-29,APPROVAL,1,0.7785,T2,12.75,2022-09-28,-8.074981217016328,-16.39344262295082,-6.387664411668016,4.508198355193191,7.413648887322374,5.45905574096155,-0.39215835870481,0.6274503820082721,-0.078433167700674,0.709122555981505,Mid ($2B-$10B),CPRX_20220929,,,,0.8121621181879544,0.6486486016267236,0.6337837833483956,0.3518144903504888,0.22983868099152133,0.2187500060085327,-0.06289311990311576,-0.14744937445697712,-0.15513628245499886,0.824814,T2,Other,0.3968253968253968,HIGH_CRL,mid,0.543584,0.570218,0.437046,0.878935
AMLX,Amylyx Pharmaceuticals Inc.,RELYVRIO (sodium phenylbutyrate and taurursodiol),Amyotrophic lateral sclerosis (ALS),HIGH,2022-09-29,APPROVAL,1,0.7874,T2,29.229999542236328,2022-09-28,21.63961176447523,8.139100257876633,-5.281921697592167,0.274442280456154,4.879794266415739,3.726044094001287,3.2843003997797577,-3.6948338714323024,1.847420198372092,0.3561298588103102,Small ($300M-$2B),AMLX_20220929,,,,0.5066666236290565,0.4948717753092448,0.4451282207782452,0.3845428893240696,0.37370407925438304,0.3279925172966955,0.18419991105189779,0.17492947384160856,0.13583236242546176,0.876971,T1,Rare Disease,0.2631578947368421,HIGH_CRL,small,1.124273,1.247093,1.025436,1.247093
BCLI,Brainstorm Cell Therapeutics Inc.,NurOwn,Amytrophic lateral sclerosis (ALS),HIGH,2022-10-07,APPROVAL,1,0.7874,T2,61.650001525878906,2022-10-06,27.63975672814279,0.489002541514913,-2.142854720827133,-7.013576639278331,-7.013576639278331,-3.747074803321246,-8.515814874386013,-10.705599554685929,-13.625306274084725,1.416128463597173,Micro ($50M-$300M),BCLI_20221007,,,,0.5817490575183814,0.6806084098746603,0.6806084098746603,0.5464684977844502,0.6431228143485566,0.6431228143485566,0.1428572027425019,0.21428580411375286,0.21428580411375286,0.876947,T1,Rare Disease,0.25,HIGH_CRL,micro,0.304762,0.333333,0.403175,0.403175
PLUR,Pluri Inc.,NurOwn,Amytrophic lateral sclerosis (ALS),HIGH,2022-10-07,APPROVAL,1,0.7874,T2,6.800000190734863,2022-10-06,-7.608694736696163,8.974366028163349,21.42857690246747,8.974366028163349,8.974366028163349,3.6585403970846935,-2.352945878843816,-7.058823611909541,-11.76470835728622,0.7197603110014278,Micro ($50M-$300M),PLUR_20221007,,,,-0.43697480296408375,-0.34453787068577596,-0.3697479294649687,-0.35576919109158117,-0.25,-0.27884612739438747,-0.32323231289379706,-0.21212124861012807,-0.24242424972202561,0.876959,T1,Rare Disease,0.238095238095238,LOW_CRL,micro,,,,
SUPN,Supernus Pharmaceuticals Inc.,ONAPGO (apomorphine hydrochloride) injection (SPN-830),Motor fluctuations in Parkinson’s disease (PD),HIGH,2022-10-10,CRL,0,0.7419,T2,33.290000915527344,2022-10-07,-3.924965513596946,-5.987006328777781,2.3048554975366247,-0.6268629387243471,-1.362960250289352,0.0,-4.656056178377027,-5.947736242510692,-2.49324664532392,1.0112595286383663,Small ($300M-$2B),SUPN_20221010,,,,0.07142853470641869,0.12870618785533045,0.14791102912768106,-0.011194048882451456,0.041666671609008714,0.05939054280082049,-0.07531259664306635,-0.025879598878862785,-0.009305021823307745,0.809725,T2,CNS/Neurology,0.2804878048780488,HIGH_CRL,small,0.136177,0.140273,0.169283,0.211945
BNTX,BioNTech SE,Bivalent BNT162b2,Omicron BA.4/BA.5-adapted bivalent COVID-19 vaccine,VERY_HIGH,2022-10-12,APPROVAL,1,0.983,T1,129.49000549316406,2022-10-11,-12.666080959157965,0.9747348303619904,-3.213983114396672,-5.612651659169443,-3.8749914338514935,-3.8749914338514935,5.529375318235118,8.124170644372425,3.235761066392404,0.8194446266248672,Large (>$10B),BNTX_20221012,,,,-0.17034088606916042,-0.14804692615420711,-0.15984602675457124,-0.21086825933091158,-0.18966331973741904,-0.20088605524258366,-0.035935890184286924,-0.010030302866809095,-0.023740860885056,0.975472,T1,Infectious Disease,0.146551724137931,LOW_CRL,large,-0.157405,-0.122332,-0.105088,0.191502
MRNA,Moderna Inc.,"mRNA-1273.222 - (including EG.5, FL.1.5.1, and BA.2.86)",Covid-19 Omicron Booster,VERY_HIGH,2022-10-12,APPROVAL,1,0.983,T1,120.72000122070312,2022-10-11,-13.968076596681255,-4.00763424770598,-1.170692007623773,-3.900653891692603,1.1733167360539598,1.1733167360539598,8.28363146030604,11.597084044428456,11.07521121768725,0.624587078970411,Large (>$10B),MRNA_20221012,,,,-0.27741735553782937,-0.23121170478033412,-0.24467562558702918,-0.3545971459542273,-0.3133267679559762,-0.3253525936271077,-0.09232781340077793,-0.03428658534511104,-0.05119928942466694,0.97547,T1,Infectious Disease,0.1491228070175438,LOW_CRL,large,-0.195843,-0.212297,-0.166334,0.293499
PFE,Pfizer Inc.,Bivalent BNT162b2,Omicron BA.4/BA.5-adapted bivalent COVID-19 vaccine,VERY_HIGH,2022-10-12,APPROVAL,1,0.995,T1,34.365509033203125,2022-10-11,-12.22782717224561,-4.553744560321864,-5.649343671705775,-4.986426198386331,-0.945190558781986,-0.945190558781986,0.2624348519521992,2.5286411642419027,5.176544660324361,1.0231090281047168,Large (>$10B),PFE_20221012,,,,-0.1231002466567723,-0.12389471542439214,-0.17095640992518613,-0.10913862546628945,-0.10994574342435423,-0.15775673400910453,-0.034965032831706606,-0.035839351860937924,-0.08763111099224838,0.982016,T1,Infectious Disease,0.1478260869565217,LOW_CRL,large,-0.157387,-0.120402,-0.133869,0.085226
