Tickers with pre-2024 events: 291
Eligible (have market, no historical data yet): 153
[132/153] CYTK (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[133/153] VKTX (NASDAQ)... sent=500 new (1000 total), pc=374 new (661 total)
[134/153] VTRS (NASDAQ)... sent=226 new (726 total), pc=216 new (502 total)
[135/153] INO (NASDAQ)... sent=500 new (1000 total), pc=371 new (847 total)
[136/153] HALO (NASDAQ)... sent=500 new (1000 total), pc=389 new (889 total)
[137/153] AMLX (NASDAQ)... sent=0 new (157 total), pc=0 new (156 total)
[138/153] APLT (NASDAQ)... sent=0 new (157 total), pc=0 new (122 total)
[139/153] ADCT (NASDAQ)... sent=0 new (157 total), pc=0 new (156 total)
[140/153] EVAX (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
  [saved cache after 140 tickers]
[141/153] KROS (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[142/153] VRTX (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[143/153] GLTO (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[144/153] RYTM (NASDAQ)... sent=500 new (1000 total), pc=374 new (663 total)
[145/153] NKTR (NASDAQ)... sent=500 new (1000 total), pc=374 new (666 total)
[146/153] BIIB (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[147/153] HCM (NASDAQ)... sent=500 new (1000 total), pc=388 new (870 total)
[148/153] NVS (NASDAQ)... sent=500 new (1000 total), pc=365 new (700 total)
[149/153] AUTL (NASDAQ)... sent=0 new (156 total), pc=0 new (156 total)
[150/153] MRK (NASDAQ)... sent=500 new (1000 total), pc=395 new (895 total)
  [saved cache after 150 tickers]
[151/153] ANAB (NASDAQ)... sent=500 new (1000 total), pc=382 new (882 total)
[152/153] KZIA (NASDAQ)... sent=0 new (157 total), pc=0 new (39 total)
[153/153] NBIX (NASDAQ)... 
