ticker,catalyst_date,asset,indication
INTE,2025-03-28,Qfitlia (fitusiran),Hemophilia A or B bleeding prevention
ALNY,2025-03-28,Qfitlia (fitusiran) - (ATLAS),Hemophilia A/B
EQ,2025-03-27,Itolizumab - (EQUATOR),1st line Acute graft-versus-host disease (aGVHD)
EXEL,2025-03-26,CABOMETYX (cabozantinib) - (CABINET),Advanced Neuroendocrine Tumors
IPSEY,2025-03-26,CABOMETYX (cabozantinib) - (CABINET),Advanced Neuroendocrine Tumors
WVE,2025-03-26,WVE-N531 - (FORWARD-53),Duchenne muscular dystrophy (DMD) in boys
SLNO,2025-03-26,VYKAT XR (diazoxide choline) extended-release tablets,Prader-Willi syndrome (PWS)
GSK,2025-03-25,Blujepa (Gepotidacin) - (EAGLE 2/3),Uncomplicated urinary tract infection (uUTI)
CNTA,2025-03-24,SerpinPC - (PRESent-3),Hemophilia B
AURA,2025-03-24,Belzupacap sarotalocan (AU-011),Non-muscular invasive bladder cancer (NMIBC)
CGON,2025-03-24,Cretostimogene - (BOND-003),BCG-unresponsive Non-Muscle Invasive Bladder Cancer (NMIBC) with Carcinoma in Situ
TLX,2025-03-21,Gozellix (TLX007-CDx),PSMA-PET imaging agent for prostate cancer
JNJ,2025-03-20,TREMFYA (guselkumab),Moderately to severely active Crohn's disease
ALNY,2025-03-20,AMVUTTRA (vutrisiran),ATTR Amyloidosis with Cardiomyopathy (ATTR-CM)
NVS,2025-03-20,Fabhalta (iptacopan),C3 glomerulopathy (C3G)
GLSI,2025-03-17,GP2 (GLSI-100)  - (FLAMINGO-01),HER2 positive breast cancer
XERS,2025-03-17,Gvoke VialDx,Diagnostic aid for gastrointestinal tract in adult patients
ANIP,2025-03-14,ILUVIEN (fluocinolone acetonide intravitreal implant),Chronic non-infectious uveitis affecting the posterior segment of the eye (NIU-PS) in addition to diabetic macular edema (DME)
RNAZ,2025-03-13,TTX-MC138 - (PRE-I-SPY),Metastatic solid tumors
PHIO,2025-03-10,PH-762,Cutaneous Squamous Cell Carcinoma
SPRY,2025-03-05,Neffy 1 mg (epinephrine nasal spray),Anaphylaxis
RHHBY,2025-03-03,TNKase (tenecteplase),Acute ischemic stroke (AIS) in adults
INDV,2025-02-24,SUBLOCADE (buprenorphine extended-release),Moderate to severe opioid use disorder (OUD)
MIRM,2025-02-24,CTEXLI (chenodiol),Cerebrotendinous xanthomatosis (CTX)
SLS,2025-02-20,SLS009 (tambiciclib) with zanubrutinib,relapsed/refractory Diffuse Large B-Cell Lymphoma (r/r DLBCL)
APTO,2025-02-20,Tuspetinib (TUS) in combination therapy with azacitidine (AZA) and venetoclax (VEN) - (TUSCANY),Newly diagnosed with acute myeloid leukemia (AML)
HRMY,2025-02-19,WAKIX (pitolisant) - (INTUNE),Idiopathic Hypersomnia (IH)
IBRX,2025-02-19,ANKTIVA,BCG-Unresponsive Non-Muscle Invasive Bladder Cancer
GSK,2025-02-17,MenABCWY,"Meningitis, meningococcal disease caused by serogroups A, B, C, W and Y"
TURN,2025-02-14,Romvimza (vimseltinib),Symptomatic tenosynovial giant cell tumor
CLLS,2025-02-14,ALLO-501/501A + ALLO-647 - (ALPHA2),Large B-cell lymphoma
ALLO,2025-02-14,ALLO-501/501A + ALLO-647 - (ALPHA2),Large B-cell lymphoma
ALPMY,2025-02-13,IZERVAY (avacincaptad pegol intravitreal solution),Geographic atrophy (GA) secondary to age-related macular degeneration (AMD)
RHHBY,2025-02-12,EVRYSDI (risdiplam) 5mg,Spinal muscular atrophy (SMA)
PFE,2025-02-12,ADCETRIS (brentuximab vedotin) with lenalidomide and rituximab - (ECHELON-3),Relapsed/refractory diffuse large B-cell lymphoma (DLBCL)
SWTX,2025-02-11,GOMEKLI (mirdametinib) - (ReNeu),Neurofibromas
ABBV,2025-02-07,EMBLAVEO (aztreonam and avibactam),Complicated Intra-abdominal Infection and Hosptial Acquired Pneumonia
RNAZ,2025-02-06,TTX-MC138 - (PRE-I-SPY),Metastatic solid tumors
SUPN,2025-02-04,ONAPGO (apomorphine hydrochloride) injection (SPN-830),Motor fluctuations in Parkinson’s disease (PD)
RHHBY,2025-02-04,Susvimo (ranibizumab injection) 100 mg/mL - (Pagoda and Pavilion),Diabetic macular edema (DME) and diabetic retinopathy (DR)
ADLO,2025-01-30,Journavx (suzetrigine),Moderate to severe acute pain
AXSM,2025-01-30,SYMBRAVO (meloxicam and rizatriptan),Migraine
VRTX,2025-01-30,Suzetrigine (VX-548),Acute Pain following bunionectomy or abdominoplasty surgery
NVS,2025-01-29,Farabursen (RGLS8429) (MAD),Autosomal Dominant Polycystic Kidney Disease (ADPKD)
NVO,2025-01-28,Semaglutide - (FLOW),Renal impairment in people with type 2 diabetes and chronic kidney disease (CKD)
AZN,2025-01-27,Enhertu - (DESTINY-Breast06),"HR-positive, HER2-low (IHC 1+ or 2+/ISH-) metastatic breast cancer"
DSNKY,2025-01-27,Enhertu - (DESTINY-Breast06),"HR-positive, HER2-low (IHC 1+ or 2+/ISH-) metastatic breast cancer"
BIIB,2025-01-26,LEQEMBI (lecanemab-irmb),IV Maintenance Dosing for Alzheimer’s disease
AMRX,2025-01-23,Rifaximin 550 mg oral tablets,Irritable bowel syndrome with diarrhea (IBS-D) in adults
AMRX,2025-01-23,Memantine/donepezil 14-10 mg and 28-10 mg extended-release capsules,Moderate to severe dementia of the Alzheimer's type
AMRX,2025-01-23,Everolimus,Tuberous Sclerosis Complex (TSC)-Associated Subependymal Giant Cell Astrocytoma (SEGA)
LSTA,2025-01-22,LSTA1 in combination with gemcitabine and nab-paclitaxel - (ASCEND),1L metastatic pancreatic ductal adenocarcinoma
CHRS,2025-01-22,Casdozokitug/toripalimab/bevacizumab,Unresectable locally advanced or metastatic hepatocellular carcinoma (HCC)
MEDA,2025-01-21,Grafapex (treosulfan),AML/MDS preparation for HSCT
IRON,2025-01-21,Bitopertin - (APOLLO),Erythropoietic Protoporphyria (EPP)
JNJ,2025-01-21,SPRAVATO (esketamine) monotherapy,Treatment Resistant Depression (TRD4005)
INBX,2025-01-21,ozekibart (INBRX-109) in combination with FOLFIRI,"Advanced or metastatic, unresectable colorectal adenocarcinoma (CRC), Chondrosarcoma"
DAII,2025-01-17,Datroway (datopotamab deruxtecan-dlnk),HR+/HER2- metastatic breast cancer
AZN,2025-01-17,"Calquence (acalabrutinib) with chemoimmunotherapy, bendamustine and rituximab - (ECHO)",Mantle cell lymphoma (MCL)
AZN,2025-01-17,Datopotamab Deruxtecan - (TROPION-Breast01),"HR Positive, HER2 Negative Breast Cancer"
AMGN,2025-01-17,LUMAKRAS (Sotorasib)  + Vectibix (panitumumab) - (CodeBreaK 300),"KRAS G12C-mutated solid tumors, CRC"
ATRA,2025-01-16,Tabelecleucel (tab-cel),Epstein-Barr Virus Positive Post-Transplant Lymphoproliferative Disease
SNDX,2025-01-16,Niktimvo (axatilimab-csfr),Chronic Graft versus host disease (cGvHD)
INCY,2025-01-16,Niktimvo (axatilimab-csfr),Chronic Graft versus host disease (cGvHD)
LLY,2025-01-15,Omvoh (mirikizumab-mrkz),Inflammatory bowel disease (IBD)
LEXX,2025-01-15,DehydraTECH-liraglutide - (GLP-1-H25-5). (Pilot Study #5),Obesity
PHIO,2025-01-13,PH-762,Cutaneous Squamous Cell Carcinoma
JSPR,2025-01-08,Subcutaneous briquilimab - (BEACON),Chronic Spontaneous Urticaria (CSU)
ANIP,2025-01-02,Prucalopride Tablets - (Motegrity generic),(RLD) Motegrity Biosimilar
KZIA,2025-01-02,Paxalisib (GDC-0084) - (GBM AGILE),Glioblastoma multiforme
BGNE,2024-12-27,TEVIMBRA (tislelizumab-jsgr) - (RATIONALE 305),Gastric or gastroesophageal junction (G/GEJ) adenocarcinoma
ONC,2024-12-27,TEVIMBRA (tislelizumab-jsgr) - (RATIONALE 305),Gastric or gastroesophageal junction (G/GEJ) adenocarcinoma
ZLDPF,2024-12-23,Glepaglutideb - (EASE 1),Short bowel syndrome (SBS)
VRTX,2024-12-20,ALYFTREK (vanzacaftor/tezacaftor/deutivacaftor),Cystic fibrosis (CF) ages 6 years and older
LLY,2024-12-20,Zepbound  (Tirzepatide) - (SURMOUNT-OSA),Obstructive Sleep Apnea (OSA)
PFE,2024-12-20,BRAFTOVI,BRAF V600E-Mutant Metastatic Colorectal Cancer
HUMA,2024-12-20,SYMVESS (acellular tissue engineered vessel-tyod),Extremity Vascular Trauma
NBIX,2024-12-20,CRENESSITY (Crinecerfont) - (oral solution formulation),Classic congenital adrenal hyperplasia (CAH)
LXRX,2024-12-20,Zynquista (sotagliflozin),Type 1 Diabetes  and chronic kidney disease (CKD)
RYTM,2024-12-20,IMCIVREE (setmelanotide),"Obesity due to biallelic POMC, PCSK1, LEPR deficiency, or BBS (ages 2-6 years old)"
PLUR,2024-12-19,RYONCIL (remestemcel-L),"Pediatric participants with acute graft versus host disease (aGVHD), following allogeneic hematopoietic stem cell transplant (HSCT)"
MRKR,2024-12-19,Neldaleucel (MT-601) - (APOLLO),Lymphoma who have failed or are ineligible to receive anti-CD19 CAR T cell treatment
NBIX,2024-12-19,"CRENESSITY  (Crinecerfont) - (CAHtalyst, capsule formulation)",Congenital Adrenal Hyperplasia (CAH)
MESO,2024-12-19,RYONCIL (remestemcel-L),"Pediatric participants with acute graft versus host disease (aGVHD), following allogeneic hematopoietic stem cell transplant (HSCT)"
IONS,2024-12-19,TRYNGOLZA (olezarsen),Familial Chylomicronemia Syndrome (FCS)
SNY,2024-12-17,MenQuadfi,Meningococcal disease
IMMX,2024-12-17,NXC-201 (HBI10101) - (NEXICART-1),relapsed/refractory multiple myeloma and relapsed/refractory AL amyloidosis
ROIV,2024-12-16,Tapinarof Cream 1%,Atopic dermatitis (AD)
OGN,2024-12-16,Tapinarof Cream 1%,Atopic dermatitis (AD)
FBIO,2024-12-13,UNLOXCYT (cosibelimab-ipdl),Cutaneous squamous cell carcinoma (CSCC)
CKPT,2024-12-13,UNLOXCYT (cosibelimab-ipdl),Cutaneous squamous cell carcinoma (CSCC)
CADL,2024-12-11,CAN-2409 (aglatimagene besadenovec) combined with Valacyclovir,Prostate cancer
PRLD,2024-12-11,PRT2527,Solid tumors and hematological malignancies
IMMX,2024-12-10,NXC-201 (HBI10101) - (NEXICART-2),Relapsed/refractory AL Amyloidosis
QURE,2024-12-10,AMT-130,Huntington's disease
NKTR,2024-12-09,NKTR-255 with BAVENCIO (avelumab) - (JAVELIN),Locally advanced or metastatic urothelial carcinoma (UC)
PRTC,2024-12-09,LYT-200,Relapsed/refractory AML and MDS
LYEL,2024-12-09,LYL314 (IMPT-314),Large B-cell lymphoma
GMAB,2024-12-09,EPCORE (Epcoritamab) - (EPCORE  NHL-2),Non-Hodgkin lymphoma (NHL)
CPIX,2024-12-09,Acetadote (N-acetylcysteine for injection) (IV),Prevent or lessen liver injury after  toxic quantities of acetaminophen.
MRK,2024-12-09,NKTR-255 with BAVENCIO (avelumab) - (JAVELIN),Locally advanced or metastatic urothelial carcinoma (UC)
AFMD,2024-12-08,AFM13 + AlloNK (AB-101) - (LuminICE-203),"Classical Hodgkin Lymphoma (cHL), relapsed/refractory CD30-positive lymphoma"
PSTX,2024-12-07,P-BCMA-101 - (PRIME),Multiple myeloma
URGN,2024-12-05,ZUSDURI (VesiGel UGN-102 (mitomycin)) - (ENVISION),Low grade non-muscle invasive bladder cancer (LG-NMIBC)
MRUS,2024-12-05,BIZENGRI (zenocutuzumab-zbco),Solid tumors - NRG1+ NSCLC and PDAC cancer
AZN,2024-12-05,IMFINZI (Durvalumab) - (ADRIATIC),Small cell lung cancer (SCLC) limited disease
GMAB,2024-12-05,BIZENGRI (zenocutuzumab-zbco),Solid tumors - NRG1+ NSCLC and PDAC cancer
MRUS,2024-12-02,Petosemtamab (MCLA-158),"Recurrent/metastatic (r/m) head and neck squamous cell carcinoma (HNSCC), Solid Tumors"
GMAB,2024-12-02,Petosemtamab (MCLA-158),"Recurrent/metastatic (r/m) head and neck squamous cell carcinoma (HNSCC), Solid Tumors"
APLT,2024-11-27,Govorestat (AT-007) - (ACTION-Galactosemia kids),Galactosemia
BBIO,2024-11-22,Attruby (Acoramidis) - (ATTRibute-CM),Amyloid cardiomyopathy (ATTR-CM)
AZN,2024-11-22,Attruby (Acoramidis) - (ATTRibute-CM),Amyloid cardiomyopathy (ATTR-CM)
ZYME,2024-11-21,Ziihera (zanidatamab-hrii),HER2-amplified biliary tract cancers
ONC,2024-11-21,Ziihera (zanidatamab-hrii),HER2-amplified biliary tract cancers
BGNE,2024-11-21,Ziihera (zanidatamab-hrii),HER2-amplified biliary tract cancers
JAZZ,2024-11-21,Ziihera (zanidatamab-hrii),HER2-amplified biliary tract cancers
PYXS,2024-11-20,PYX-201-101 - (MICVO),Solid tumors
RXRX,2024-11-20,REC-4881,AXIN1 or APC Mutant Cancers
PHRRF,2024-11-19,KETARX (ketamine),Surgical pain management
FATE,2024-11-18,FT522,Lupus
SNDX,2024-11-15,Revuforj (revumenib),Adult and pediatric relapsed or refractory (R/R) KMT2A-rearranged (KMT2Ar) acute leukemia
ADIL,2024-11-14,AD04 - (ONWARD),Alcohol use disorder
GSK,2024-11-13,Lete-cel - (IGNYTE-ESO),Sarcoma
PTCT,2024-11-13,Upstaza (PTC-AADC),AADC deficiency
CLPT,2024-11-13,Upstaza (PTC-AADC),AADC deficiency
ADAP,2024-11-13,Lete-cel - (IGNYTE-ESO),Sarcoma
AIMD,2024-11-11,VELDONA,Sjögren's syndrome
PHIO,2024-11-09,PH-762,Cutaneous Squamous Cell Carcinoma
AUTL,2024-11-08,AUCATZYL (obecabtagene autoleucel)  - (FELIX),B-Cell Acute Lymphoblastic Leukemia
IOVA,2024-11-08,LN-145 and KEYTRUDA (pembrolizumab) - (IOV-COM-202),Solid Tumors
FBIO,2024-11-04,"Emrosi (Minocycline Hydrochloride ER Capsules, 40 mg) (DFD-29) - (MVOR-2)",Papulopustular Rosacea
DERM,2024-11-04,"Emrosi (Minocycline Hydrochloride ER Capsules, 40 mg) (DFD-29) - (MVOR-2)",Papulopustular Rosacea
NVS,2024-10-29,Scemblix - (ASC4FIRST),1L Chronic myeloid leukemia (CML)
MIRA,2024-10-28,Ketamir-2 (Topical),"Neuropathic pain and chemo-induced depression, as well as neuropathic pain and PTSD"
ANIP,2024-10-25,"Estradiol Gel, 0.06% - (generic version of EstroGel Gel, 0.06%)",Hot flashes and to treat moderate to severe menopausal changes
ITRM,2024-10-25,ORLYNVAH (Oral Sulopenem),Uncomplicated urinary tract infections (uUTI)
EXAI,2024-10-24,EXS73565 (‘565),Haematological cancers
RXRX,2024-10-24,EXS73565 (‘565),Haematological cancers
RNAZ,2024-10-23,TTX-MC138 - (PRE-I-SPY),Metastatic solid tumors
PHRRF,2024-10-23,KETARX (ketamine),Surgical pain management
TEVA,2024-10-22,SELARSDI (ustekinumab-aekn) 130 mg/26 mL - (STELARA Biosimilar),Crohn's disease
PFE,2024-10-22,ABRYSVO - (MONeT),Respiratory syncytial virus (RSV)-associated lower respiratory tract disease (LRTD)
ALVO,2024-10-22,SELARSDI (ustekinumab-aekn) 130 mg/26 mL - (STELARA Biosimilar),Crohn's disease
MIRA,2024-10-21,Ketamir-2 (Topical),"Neuropathic pain and chemo-induced depression, as well as neuropathic pain and PTSD"
AMRX,2024-10-21,Pyridostigmine Bromide Extended-Release (PB ER) Tablets USP 105 mg,Lethal effects of soman nerve agent poisoning
ABBV,2024-10-21,BOTOX (OnabotulinumtoxinA),Platysma prominence associated with platysma muscle activity (M21-310)
OCGN,2024-10-21,OCU410ST - (GARDian3),"Stargardt, Retinitis Pigmentosa 19 (RP19), and Cone-rod dystrophy 3 (CORD3) diseases"
ALPMY,2024-10-18,Zolbetuximab,HER2-negative gastric or gastroesophageal junction (GEJ) adenocarcinoma whose tumors are CLDN18.2-positive
ALPMY,2024-10-18,VYLOY (zolbetuximab-clzb),Advanced Gastric and GEJ Cancer
PFE,2024-10-18,VYLOY (zolbetuximab-clzb),Advanced Gastric and GEJ Cancer
AURA,2024-10-17,Belzupacap sarotalocan (AU-011),Non-muscular invasive bladder cancer (NMIBC)
ALKS,2024-10-17,LUMRYZ (sodium oxybate) Extended-Release Oral Suspension (CIII),Pediatric narcolepsy
AVDL,2024-10-17,LUMRYZ (sodium oxybate) Extended-Release Oral Suspension (CIII),Pediatric narcolepsy
ABBV,2024-10-17,VYALEV (foscarbidopa and foslevodopa),Parkinson's disease
ZLAB,2024-10-15,Optune Lua is (Tumor Treating Fields (TTFields)) - (LUNAR),Non-small cell lung cancer (NSCLC)
NVCR,2024-10-15,Optune Lua is (Tumor Treating Fields (TTFields)) - (LUNAR),Non-small cell lung cancer (NSCLC)
GNPX,2024-10-15,REQORSA Immunogene Therapy (quratusugene ozeplasmid) - (Acclaim-3),Extensive-stage small cell lung cancer (ES-SCLC)
CMND,2024-10-14,CMND-100,Alcohol use disorder (AUD)
PFE,2024-10-11,Hympavzi (marstacimab-hncq),Hemophilia A or B
RHHBY,2024-10-10,Itovebi (inavolisib) with palbociclib (Ibrance) and fulvestrant,"HER2-negative, endocrine-resistant, locally advanced or metastatic breast cancer"
JNJ,2024-10-10,TREMFYA (Guselkumab) - (QUASAR),Crohn's disease
NVS,2024-10-10,TREMFYA (Guselkumab) - (QUASAR),Crohn's disease
ZLDPF,2024-10-09,Dasiglucagon - (17103),"Congenital hyperinsulinism (CHI), (Pediatric)"
TEVA,2024-10-08,Prolia (denosumab) biosimilar - (TVB-009P),Osteoporosis
BFRI,2024-10-07,Ameluz (aminolevulinic acid HCI) Topical Gel - (3 tubes),Actinic keratosis (AK)
BMY,2024-10-04,Neoadjuvant Opdivo (nivolumab) and Chemotherapy,Stage IIA to IIIB non-small cell lung cancer (NSCLC)
BMY,2024-10-03,Opdivo (nivolumab) - (CheckMate -77T),Non-metastatic non-small cell lung cancer
RPTX,2024-09-30,Camonsertib (RP-3500)/ RG6526)- (ATTACC),Solid Tumors
ELVN,2024-09-28,ELVN-001 - (ENABLE),Chronic Myeloid Leukemia (CML)
LNTH,2024-09-27,flurpiridaz F 18,Coronary artery disease (CAD)
GEHC,2024-09-27,flurpiridaz F 18,Coronary artery disease (CAD)
PRTC,2024-09-27,"COBENFY (KarXT, xanomeline and trospium chloride)",Schizophrenia
REGN,2024-09-27,Dupixent (dupilumab) - (NOTUS),Chronic obstructive pulmonary disease (COPD)
BMY,2024-09-27,"COBENFY (KarXT, xanomeline and trospium chloride)",Schizophrenia
JNJ,2024-09-27,TALVEY (talquetamab-tgvs) with DARZALEX FASPRO (daratumumab and hyaluronidase-fihj) and pomalidomide - (TRIMM-2),Multiple Myeloma
ESLA,2024-09-27,EB103 (CD19) - (STARLIGHT-1),"Diffuse large B cell lymphoma (DLBCL), Follicular Lymphoma (FL), and other types of B-cell Lymphoma"
ENGN,2024-09-26,Detalimogene voraplasmid (EG-70) - (LEGEND),BCG-unresponsive non-muscle invasive bladder cancer (NMIBC)
AZN,2024-09-26,TAGRISSO (osimertinib) - (LAURA),"Unresectable, Stage III epidermal growth factor receptor-mutated (EGFRm) non-small cell lung cancer (NSCLC)"
ANIP,2024-09-26,"Ketoconazole Shampoo, 2%",Fungus
CLDX,2024-09-25,Barzolvolimab (CDX-0159),Chronic spontaneous urticaria (CSU)
HRTX,2024-09-25,ZYNRELEF (bupivacaine and meloxicam) extended-release solution,Pain relief following surgery
CAPR,2024-09-24,CAP-1002 - (HOPE-3),Duchenne Muscular Dystrophy (DMD)
SNY,2024-09-20,"SARCLISA (isatuximab) with bortezomib, lenalidomide and dexamethasone (VRd)",Transplant-ineligible newly diagnosed multiple myeloma (NDMM)
JNJ,2024-09-20,Amivantamab and Lazertinib - (MARIPOSA),GFR-Mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer
AZN,2024-09-20,"FLUMIST QUADRIVALENT (Influenza Vaccine Live, Intranasal)","Influenza Vaccine Live, Intranasal"
VNDA,2024-09-19,Tradipitant - (VP-VLY-686-3303),Gastroparesis
JNJ,2024-09-19,RYBREVANT (amivantamab-vmjw),Second-line EGFR-mutated advanced lung cancer
AZN,2024-09-18,FASENRA (benralizumab) - (MANDARA),Eosinophilic granulomatosis with polyangiitis (EGPA)
NVS,2024-09-17,Kisqali (ribociclib) - (NATALEE),Adjuvant breast cancer
JNJ,2024-09-16,TAR-200 with Cetrelimab - (SunRISe-4),High-Risk Non-Muscle Invasive Bladder Cancer (NMIBC)
LLY,2024-09-15,177Lu-PNT2002 - (SPLASH),Metastatic Castration-Resistant Prostate Cancer
LNTH,2024-09-15,177Lu-PNT2002 - (SPLASH),Metastatic Castration-Resistant Prostate Cancer
REGN,2024-09-13,Dupixent (dupilumab),Chronic rhinosinusitis with nasal polyposis (CRSwNP) in adolescents aged 12 to 17 years
RHHBY,2024-09-13,Ocrevus Zunovo,Multiple sclerosis (MS) or primary progressive MS
LLY,2024-09-13,EBGLYSS (lebrikizumab-lbkz),Atopic Dermatitis
HALO,2024-09-13,Ocrevus Zunovo,Multiple sclerosis (MS) or primary progressive MS
HALO,2024-09-12,Tecentriq Hybreza (atezolizumab and hyaluronidase-tqjs) with ENHANZE,"Lung, liver, skin and soft tissue cancer"
RHHBY,2024-09-12,Tecentriq Hybreza (atezolizumab and hyaluronidase-tqjs) with ENHANZE,"Lung, liver, skin and soft tissue cancer"
NVS,2024-09-11,TREMFYA (Guselkumab),Ulcerative colitis
JNJ,2024-09-11,TREMFYA (Guselkumab),Ulcerative colitis
IPHA,2024-09-09,Monalizuma - (NeoCOAST-2),Early-stage non-small cell lung cancer (NSCLC)
ACTU,2024-09-09,Elraglusib (9-ING-41) - (Actuate-1902),Ewing Sarcoma (Pediatric)
LGND,2024-09-05,FILSPARI (sparsentan),IgA nephropathy (IgAN)
TVTX,2024-09-05,FILSPARI (sparsentan),IgA nephropathy (IgAN)
EBS,2024-08-30,ACAM2000,Smallpox and Mpox (Vaccinia) Vaccine
SCLX,2024-08-29,GLOPERBA (colchicine),Acute and chronic pain
ENSC,2024-08-27,PF614-MPAR-102 - (MPAR),Overdose Protection
VCEL,2024-08-26,MACI Arthro,Arthroscopic Administration
PFE,2024-08-22,COMIRNATY,Omicron KP.2-adapted COVID-19 Vaccine
BNTX,2024-08-22,COMIRNATY,Omicron KP.2-adapted COVID-19 Vaccine
MRNA,2024-08-22,Spikevax (2024-2025 formula),COVID-19 Vaccine
WHWK,2024-08-20,FYARRO - (PRECISION 1),Solid tumors
JNJ,2024-08-20,RYBREVANT (amivantamab-vmjw)  plus LAZCLUZE - (MARIPOSA),1L locally advanced or metastatic non-small cell lung cancer (NSCLC)
REGN,2024-08-20,Lynozyfic (linvoseltamab-gcpt),Multiple myeloma
AMRX,2024-08-20,Propofol emulsion (Diprivan generic),Anesthetic and sedation
LQDA,2024-08-19,YUTREPIA,Interstitial lung disease (PH-ILD)
AZN,2024-08-16,IMFINZI (durvalumab),Non-Small Cell Lung Cancer (before and after surgery)
MDWD,2024-08-15,NexoBrid (CIDS),Severe burns - pediatric
VCEL,2024-08-15,NexoBrid (CIDS),Severe burns - pediatric
INCY,2024-08-14,Niktimvo (axatilimab-csfr),Chronic Graft versus host disease (cGvHD)
GILD,2024-08-14,Livdelzi (Seladelpar),Primary biliary cholangitis (PBC)
SNDX,2024-08-14,Niktimvo (axatilimab-csfr),Chronic Graft versus host disease (cGvHD)
VIRX,2024-08-14,Nanatinostat - (NAVAL-1),Epstein Barr Virus-associated cancers
ASND,2024-08-12,YORVIPATH (Palopegteriparatide),Hypoparathyroidism
NVS,2024-08-12,Enzeevu (aflibercept-abzv),Neovascular age-related macular degeneration (nAMD)
LYKOS,2024-08-11,Midomafetamine (MDMA),Post-traumatic stress disorder (PTSD)
SPRY,2024-08-09,Neffy (epinephrine nasal spray),Allergic reactions (type I) including anaphylaxis
CTXR,2024-08-08,LYMPHIR (denileukin diftitox-cxdl),CTCL non-Hodgkin lymphoma
NVS,2024-08-08,Fabhalta (iptacopan),IgA nephropathy (IgAN)
AMRX,2024-08-07,CREXONT (Carbidopa and Levodopa),Parkinson's disease
AGIO,2024-08-07,VORANIGO (vorasidenib),Grade 2 IDH-mutant Glioma
PSTX,2024-08-04,P-BCMA-101 - (PRIME),Multiple myeloma
ADAP,2024-08-01,TECELRA (afamitresgene autoleucel),Unresectable or metastatic synovial sarcoma
GSK,2024-08-01,Jemperli (dostarlimab-gxly) plus chemotherapy,Primary advanced or recurrent endometrial cancer
JNJ,2024-07-31,DARZALEX FASPRO (daratumumab and hyaluronidase-fihj),Frontline multiple myeloma transplant eligible
ACOG,2024-07-29,ZUNVEYL (benzgalantamine),Mild-to-moderate Alzheimer's disease
AMRX,2024-07-29,Potassium Phosphates in 0.9% Injection IV RTU bags,Hyperphosphatemia
CLDX,2024-07-29,Barzolvolimab - (CindU),"Chronic inducible urticaria (CIndU), cold urticaria (ColdU) and symptomatic dermographism (SD), Chronic Spontaneous Urticaria (CSU)"
MIRM,2024-07-25,LIVMARLI (maralixibat),Progressive Familial Intrahepatic Cholestasis (PFIC)
BMRN,2024-07-24,BRINEURA (cerliponase alfa) - (Study 190-203),CLN2 Batten Disease Children of All Ages
PHAT,2024-07-18,VOQUEZNA (vonoprazan) - (PHALCON-NERD-301),Heartburn associated with Non-Erosive gastroesophageal reflux disease (GERD)
AGEN,2024-07-18,Botensilimab plus balstilimab - (BATTMAN),Relapsed/refractory microsatellite stable colorectal cancer with no active liver metastases (r/r MSS CRC NLM)
SNY,2024-07-18,iluzanebart  (VGL101) - (IGNITE),Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia (ALSP)
VIGL,2024-07-18,iluzanebart  (VGL101) - (IGNITE),Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia (ALSP)
ANVS,2024-07-16,Buntanetap (ANVS401),Alzheimer’s disease (AD)
ANIP,2024-07-15,L-Glutamine Oral Powder (Endari),Biosimilar
NVO,2024-07-11,Insulin icodec,"Diabetes mellitus, Type 1 diabetes"
CRGX,2024-07-10,Firicabtagene autoleucel (firi-cel) - (FIRCE-1),Relapsed or refractory (R/R) large B-cell lymphoma (LBCL)
ARQT,2024-07-09,"ZORYVE (roflumilast) cream, 0.15%",Atopic dermatitis
SXTP,2024-07-09,ARAKODA (tafenoquine),Babesiosis
RHHBY,2024-07-08,Susvimo (ranibizumab injection),Neovascular Age-Related Macular Degeneration
IDYA,2024-07-08,IDE397 and Trodelvy,Solid Tumors
RHHBY,2024-07-05,Vabysmo Prefilled Syringe (PFS),"Wet, or neovascular, age-related macular degeneration (AMD), diabetic macular edema (DME) and macular edema following retinal vein occlusion (RVO)"
ANIP,2024-07-02,"Naproxen Delayed-Release Tablets, USP.",Pain
LLY,2024-07-02,Kisunla (donanemab-azbt),Early symptomatic Alzheimer's disease (AD)
RCKT,2024-06-28,KRESLADI (marnetegragene autotemcel),Leukocyte Adhesion Deficiency-I (LAD-I)
GMAB,2024-06-27,EPKINLY (epcoritamab-bysp),Follicular lymphoma (FL)
MRK,2024-06-27,MK-1022 (patritumab deruxtecan) - (HERTHENA-Lung02),EGFR-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC)
DSNKY,2024-06-27,MK-1022 (patritumab deruxtecan) - (HERTHENA-Lung02),EGFR-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC)
ABBV,2024-06-27,EPKINLY (epcoritamab-bysp),Follicular lymphoma (FL)
LGND,2024-06-26,Ohtuvayre (ensifentrine),Chronic obstructive pulmonary disease (COPD)
MRK,2024-06-26,Ohtuvayre (ensifentrine),Chronic obstructive pulmonary disease (COPD)
ABBV,2024-06-25,VYALEV (foscarbidopa and foslevodopa),Parkinson's disease
SGMO,2024-06-24,Civaparvovec (ST-920) - (STAAR),Fabry disease
