ticker,catalyst_date,asset,indication
FBIO,2021-06-14,Intravenous (IV) tramadol,Postoperative pain following bunionectomy surgery
ATXI,2021-06-14,Intravenous (IV) tramadol,Postoperative pain following bunionectomy surgery
FBIO,2021-06-11,MB-106,B-cell Non-Hodgkin Lymphoma & Chronic Lymphocytic Leukemia (CLL)
MBIO,2021-06-11,MB-106,B-cell Non-Hodgkin Lymphoma & Chronic Lymphocytic Leukemia (CLL)
VRTX,2021-06-09,TRIKAFTA (elexacaftor/tezacaftor/ivacaftor and ivacaftor),Children (6-11 years old) who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene or a mutation in the CFTR gene that is responsive
PFE,2021-06-08,PREVNAR 20,Pneumococcal conjugate vaccine (18 yrs +)
AZN,2021-06-07,ULTOMIRIS (ravulizumab-cwvz),Paroxysmal Nocturnal Hemoglobinuria (PNH) - children
BIIB,2021-06-07,ADUHELM (Aducanumab),Alzheimer’s disease
CLRB,2021-06-04,CLR 131 - (CLOVER-1),Various lymphoma
DTIL,2021-06-04,Azercabtagene zapreleucel (azer-cel; PBCAR0191),Relapsed or refractory B-cell precursor acute lymphoblastic leukemia and R/R non-hodgkin lymphoma
CMRX,2021-06-04,TEMBEXA (brincidofovir),Smallpox
SCYX,2021-06-02,BREXAFEMME (ibrexafungerp),Vulvovaginal candidiasis (VVC)
ALKS,2021-06-01,LYBALVI (olanzapine/samidorphan),"Schizophrenia, bipolar"
BBIO,2021-06-01,TRUSELTIQ (Infigratinib),Cholangiocarcinoma
LIAN,2021-06-01,TRUSELTIQ (Infigratinib),Cholangiocarcinoma
ETON,2021-05-28,Dehydrated alcohol injection (DS-100),Methanol poisoning
ETON,2021-05-28,ZONISADE (Zonisamide Oral Suspension),Epilepsy
AMGN,2021-05-28,LUMAKRAS (Sotorasib),Non-small cell lung cancer (NSCLC)
BHVN,2021-05-27,NURTEC ODT (Rimegepant),Migraine - preventative
LNTH,2021-05-27,PYLARIFY (piflufolastat F 18),Prostate cancer
PFE,2021-05-27,NURTEC ODT (Rimegepant),Migraine - preventative
BMY,2021-05-27,ZEPOSIA (ozanimod),Ulcerative Colitis
GSK,2021-05-26,Sotrovimab (VIR-7831 / GSK4182136) - (COMET-ICE),COVID-19 antibody
VIR,2021-05-26,Sotrovimab (VIR-7831 / GSK4182136) - (COMET-ICE),COVID-19 antibody
PFE,2021-05-26,"MYFEMBREE (Relugolix, estradiol, norethindrone acetate)",Uterine fibroids
XNCR,2021-05-26,Sotrovimab (VIR-7831 / GSK4182136) - (COMET-ICE),COVID-19 antibody
BMY,2021-05-20,OPDIVO (nivolumab),Esophageal or Gastroesophageal Junction Cancer
APLS,2021-05-14,EMPAVELI (pegcetacoplan),Paroxysmal Nocturnal Hemoglobinuria (PNH)
HRTX,2021-05-13,ZYNRELEF (HTX-011),Post operative pain
AMGN,2021-05-06,TAVNEOS (avacopan),Associated vasculitis (AAV)
MRK,2021-05-05,KEYTRUDA (pembrolizumab) and HERCEPTIN (Trastuzumab),Gastric or Gastroesophageal Junction Adenocarcinoma
AZN,2021-04-30,FARXIGA (Dapagliflozin),Chronic Kidney Disease
PLX,2021-04-28,Pegunigalsidase alfa  (PRX-102),Fabry disease
ADCT,2021-04-23,ZYNLONTA (Loncastuximab Tesirine),Diffuse Large B-Cell Lymphoma
