loe,brand,ingredient,company,appl_no,n_patents,substance_patent,approval_date,therapeutic_family,atc_code
2031-05-31,RISVAN,RISPERIDONE,LABORATORIOS FARMACEUTICOS ROVI SA,214835,28,False,"Mar 29, 2024",Psychiatry,N05AX
2031-06-03,SEGLENTIS,CELECOXIB; TRAMADOL HYDROCHLORIDE,KOWA PHARMACEUTICALS AMERICA INC,213426,7,True,"Oct 15, 2021",Pain,N02AJ
2031-06-08,CRESEMBA,ISAVUCONAZONIUM SULFATE,ASTELLAS PHARMA US INC,207500,12,True,"Mar 6, 2015",Unclassified,
2031-06-08,CRESEMBA,ISAVUCONAZONIUM SULFATE,ASTELLAS PHARMA US INC,207501,2,True,"Mar 6, 2015",Unclassified,
2031-06-11,ORKAMBI,IVACAFTOR; LUMACAFTOR,VERTEX PHARMACEUTICALS INC,206038,94,True,"Jul 2, 2015",Respiratory,R07AX
2031-06-11,ORKAMBI,IVACAFTOR; LUMACAFTOR,VERTEX PHARMACEUTICALS INC,211358,126,True,"Aug 7, 2018",Respiratory,R07AX
2031-06-11,SOVALDI,SOFOSBUVIR,GILEAD SCIENCES INC,204671,34,True,"Dec 6, 2013",Infectious disease,J05AP
2031-06-11,SOVALDI,SOFOSBUVIR,GILEAD SCIENCES INC,212480,32,True,"Aug 28, 2019",Infectious disease,J05AP
2031-06-13,MIRVASO,BRIMONIDINE TARTRATE,GALDERMA LABORATORIES LP,204708,7,False,"Aug 23, 2013",Eye & ear,S01EA
2031-06-13,DAKLINZA,DACLATASVIR DIHYDROCHLORIDE,BRISTOL-MYERS SQUIBB CO,206843,18,True,"Jul 24, 2015",Infectious disease,J05AP
2031-06-19,BAXDELA,DELAFLOXACIN MEGLUMINE,MELINTA SUBSIDIARY CORP,208610,5,True,"Jun 19, 2017",Infectious disease,J01MA
2031-06-23,GIAZO,BALSALAZIDE DISODIUM,VALEANT PHARMACEUTICALS INTERNATIONAL,022205,4,False,"Feb 3, 2012",Metabolism & digestive,A07EC
2031-06-28,SLYND,DROSPIRENONE,EXELTIS USA INC,211367,15,False,"May 23, 2019",Genitourinary & hormones,G03AA
2031-06-28,DROSPIRENONE,DROSPIRENONE,EXELTIS USA INC,216285,15,False,"Jun 29, 2022",Genitourinary & hormones,G03AA
2031-06-30,MULTAQ,DRONEDARONE HYDROCHLORIDE,SANOFI AVENTIS US LLC,022425,5,False,"Jul 1, 2009",Cardiovascular,C01BD
2031-07-01,EDARBYCLOR,AZILSARTAN KAMEDOXOMIL; CHLORTHALIDONE,AZURITY PHARMACEUTICALS INC,202331,6,False,"Dec 20, 2011",Cardiovascular,C03BA
2031-07-08,IYUZEH,LATANOPROST,THEA PHARMA INC,216472,1,False,"Dec 13, 2022",Eye & ear,S01EE
2031-07-15,MYDCOMBI,PHENYLEPHRINE HYDROCHLORIDE; TROPICAMIDE,EYENOVIA INC,215352,3,False,"May 5, 2023",Respiratory,R01AA
2031-07-18,NERLYNX,NERATINIB MALEATE,PUMA BIOTECHNOLOGY INC,208051,20,True,"Jul 17, 2017",Cancer,L01EH
2031-07-19,TOSYMRA,SUMATRIPTAN,TONIX MEDICINES INC,210884,9,False,"Jan 25, 2019",Pain,N02CC
2031-07-20,PRADAXA,DABIGATRAN ETEXILATE MESYLATE,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,022512,12,True,"Oct 19, 2010",Blood,B01AE
2031-08-04,LYNPARZA,OLAPARIB,ASTRAZENECA PHARMACEUTICALS LP,206162,3,True,"Dec 19, 2014",Cancer,L01XK
2031-08-04,ZILRETTA,TRIAMCINOLONE ACETONIDE,PACIRA PHARMACEUTICALS INC,208845,2,False,"Oct 6, 2017",Dermatology,D07AB
2031-08-06,THYQUIDITY,LEVOTHYROXINE SODIUM,JEROME STEVENS PHARMACEUTICALS INC,214047,1,False,"Nov 30, 2020",Hormonal,H03AA
2031-08-08,ECOZA,ECONAZOLE NITRATE,RESILIA PHARMACEUTICALS INC,205175,1,False,"Oct 24, 2013",Dermatology,D01AC
2031-08-11,ORENITRAM,TREPROSTINIL DIOLAMINE,UNITED THERAPEUTICS CORP,203496,40,True,"Dec 20, 2013",Blood,B01AC
2031-08-11,BELRAPZO,BENDAMUSTINE HYDROCHLORIDE,EAGLE PHARMACEUTICALS INC,205580,20,False,"May 15, 2018",Cancer,L01AA
2031-08-24,ELIQUIS,APIXABAN,BRISTOL MYERS SQUIBB CO PHARMACEUTICAL RESEARCH INSTITUTE,202155,25,True,"Dec 28, 2012",Blood,B01AF
2031-08-30,PREVYMIS,LETERMOVIR,MERCK SHARP AND DOHME LLC,219104,2,True,"Aug 30, 2024",Infectious disease,J05AX
2031-08-30,PREVYMIS,LETERMOVIR,MERCK SHARP AND DOHME CORP,209939,2,True,"Nov 8, 2017",Infectious disease,J05AX
2031-09-04,TPOXX,TECOVIRIMAT,SIGA TECHNOLOGIES INC,214518,5,False,"May 18, 2022",Infectious disease,J05AX
2031-09-05,FILSPARI,SPARSENTAN,TRAVERE THERAPEUTICS INC,216403,8,False,"Feb 17, 2023",Cardiovascular,C09XX
2031-09-07,UCERIS,BUDESONIDE,SALIX PHARMACEUTICALS INC,203634,5,False,"Jan 14, 2013",Respiratory,R01AD
2031-09-08,ULORIC,FEBUXOSTAT,TAKEDA PHARMACEUTICALS USA INC,021856,4,False,"Feb 13, 2009",Musculoskeletal,M04AA
2031-09-08,NEXICLON XR,CLONIDINE,ROSEMONT PHARMACEUTICALS LLC,022500,4,False,"Dec 3, 2009",Cardiovascular,C02AC
2031-09-15,APRETUDE,CABOTEGRAVIR,VIIV HEALTHCARE CO,215499,4,True,"Dec 20, 2021",Infectious disease,J05AJ
2031-09-19,ANZUPGO,DELGOCITINIB,LEO PHARMA AS,219155,1,True,"Jul 23, 2025",Dermatology,D11AH
2031-09-22,OPSYNVI,MACITENTAN; TADALAFIL,ACTELION PHARMACEUTICALS US INC,218490,12,True,"Mar 22, 2024",Cardiovascular,C02KX
2031-09-28,VERZENIO,ABEMACICLIB,ELI LILLY AND CO,208716,17,True,"Sep 28, 2017",Cancer,L01EF
2031-09-29,MULPLETA,LUSUTROMBOPAG,VANCOCIN ITALIA SRL,210923,3,True,"Jul 31, 2018",Blood,B02BX
2031-10-10,CLEVIPREX,CLEVIDIPINE,CHIESI USA INC,022156,9,False,"Aug 1, 2008",Cardiovascular,C08CA
2031-10-14,LETAIRIS,AMBRISENTAN,GILEAD SCIENCES INC,022081,6,False,"Jun 15, 2007",Cardiovascular,C02KX
2031-10-20,TALZENNA,TALAZOPARIB TOSYLATE,PFIZER INC,211651,34,True,"Oct 16, 2018",Cancer,L01XK
2031-10-20,TALZENNA,TALAZOPARIB TOSYLATE,PFIZER INC,217439,36,True,"Mar 7, 2024",Cancer,L01XK
2031-10-21,QNASL,BECLOMETHASONE DIPROPIONATE,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D LLC,202813,2,False,"Mar 23, 2012",Respiratory,R01AD
2031-10-22,ANGELIQ,DROSPIRENONE; ESTRADIOL,BAYER HEALTHCARE PHARMACEUTICALS INC,021355,1,False,"Feb 29, 2012",Genitourinary & hormones,G03AA
2031-10-31,MYTESI,CROFELEMER,NAPO PHARMACEUTICALS INC,202292,2,False,"Dec 31, 2012",Metabolism & digestive,A07XA
2031-11-02,BRYHALI,HALOBETASOL PROPIONATE,BAUSCH HEALTH AMERICAS INC,209355,6,False,"Nov 6, 2018",Dermatology,D07AC
2031-11-17,SOLODYN,MINOCYCLINE HYDROCHLORIDE,BAUSCH HEALTH US LLC,050808,12,False,"May 8, 2006",Metabolism & digestive,A01AB
2031-11-23,LATUDA,LURASIDONE HYDROCHLORIDE,SUNOVION PHARMACEUTICALS INC,200603,55,False,"Oct 28, 2010",Psychiatry,N05AE
2031-12-05,BINOSTO,ALENDRONATE SODIUM,RADIUS HEALTH INC,202344,1,False,"Mar 12, 2012",Musculoskeletal,M05BA
2031-12-07,KEPPRA,LEVETIRACETAM,UCB INC,021035,8,False,"Nov 30, 1999",Epilepsy,N03AX
2031-12-10,ENSTILAR,BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE,LEO PHARMA AS,207589,11,False,"Oct 16, 2015",Eye & ear,S01BA
2031-12-19,SEGLUROMET,ERTUGLIFLOZIN; METFORMIN HYDROCHLORIDE,MERCK SHARP AND DOHME LLC A SUB OF MERCK AND CO INC,209806,12,True,"Dec 19, 2017",Diabetes,A10BA
2031-12-19,STEGLATRO,ERTUGLIFLOZIN,MERCK SHARP AND DOHME LLC A SUB OF MERCK AND CO INC,209803,2,True,"Dec 19, 2017",Diabetes,A10BD
2031-12-19,STEGLUJAN,ERTUGLIFLOZIN; SITAGLIPTIN PHOSPHATE,MERCK SHARP AND DOHME LLC A SUB OF MERCK AND CO INC,209805,10,True,"Dec 19, 2017",Diabetes,A10BD
2031-12-21,HYSINGLA ER,HYDROCODONE BITARTRATE,KNOA PHARMA LLC,206627,133,False,"Nov 20, 2014",Pain,N02AJ
2031-12-21,POMALYST,POMALIDOMIDE,BRISTOL MYERS SQUIBB CO,204026,24,True,"Feb 8, 2013",Immunology,L04AX
2031-12-24,NITHIODOTE,SODIUM NITRITE; SODIUM THIOSULFATE,HOPE PHARMACEUTICALS,201444,9,True,"Jan 14, 2011",Various,V03AB
2031-12-24,SODIUM NITRITE,SODIUM NITRITE,HOPE PHARMACEUTICALS,203922,3,True,"Feb 14, 2012",Various,V03AB
2031-12-28,FANAPT,ILOPERIDONE,VANDA PHARMACEUTICALS INC,022192,98,False,"May 6, 2009",Psychiatry,N05AX
