loe,brand,ingredient,company,appl_no,n_patents,substance_patent,approval_date,therapeutic_family,atc_code
2028-05-23,SIGNIFOR LAR KIT,PASIREOTIDE PAMOATE,RECORDATI RARE DISEASES INC,203255,15,True,"Dec 15, 2014",Hormonal,H01CB
2028-05-30,INCIVEK,TELAPREVIR,VERTEX PHARMACEUTICALS INC,201917,1,False,"May 23, 2011",Infectious disease,J05AP
2028-05-31,DIFFERIN,ADAPALENE,GALDERMA LABORATORIES LP,022502,3,False,"Mar 17, 2010",Dermatology,D10AD
2028-06-03,DORAL,QUAZEPAM,GALT PHARMACEUTICALS LLC,018708,2,False,"Dec 27, 1985",Psychiatry,N05CD
2028-06-04,ASTEPRO ALLERGY,AZELASTINE HYDROCHLORIDE,BAYER HEALTHCARE CONSUMER CARE,213872,2,False,"Jun 17, 2021",Respiratory,R01AC
2028-06-04,ASTEPRO,AZELASTINE HYDROCHLORIDE,VIATRIS SPECIALTY LLC,022203,2,False,"Oct 15, 2008",Respiratory,R01AC
2028-06-06,CANASA,MESALAMINE,ABBVIE INC,021252,2,False,"Jan 5, 2001",Metabolism & digestive,A07EC
2028-06-08,DUETACT,GLIMEPIRIDE; PIOGLITAZONE HYDROCHLORIDE,TAKEDA PHARMACEUTICALS USA INC,021925,4,False,"Jul 28, 2006",Diabetes,A10BB
2028-06-12,BRIDION,SUGAMMADEX SODIUM,MERCK SHARP AND DOHME LLC A SUB OF MERCK AND CO INC,022225,4,True,"Dec 15, 2015",Various,V03AB
2028-06-13,FARYDAK,PANOBINOSTAT LACTATE,SECURA BIO INC,205353,6,True,"Feb 23, 2015",Cancer,L01XH
2028-06-15,FENTORA,FENTANYL CITRATE,CEPHALON LLC,021947,10,False,"Sep 25, 2006",Pain,N02AB
2028-06-22,OSMOPREP,"SODIUM PHOSPHATE, DIBASIC, ANHYDROUS; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE",SALIX PHARMACEUTICALS INC,021892,1,True,"Mar 16, 2006",Metabolism & digestive,A06AD
2028-06-28,VYONDYS 53,GOLODIRSEN,SAREPTA THERAPEUTICS INC,211970,1,False,"Dec 12, 2019",Musculoskeletal,M09AX
2028-07-01,AFINITOR,EVEROLIMUS,NOVARTIS PHARMACEUTICALS CORP,022334,12,False,"Mar 30, 2009",Cancer,L01EG
2028-07-07,YONDELIS,TRABECTEDIN,JANSSEN PRODUCTS LP,207953,2,False,"Oct 23, 2015",Cancer,L01CX
2028-07-09,OSPHENA,OSPEMIFENE,DUCHESNAY INC,203505,4,False,"Feb 26, 2013",Genitourinary & hormones,G03XC
2028-07-13,TEKTURNA HCT,ALISKIREN HEMIFUMARATE; HYDROCHLOROTHIAZIDE,NODEN PHARMA DAC,022107,4,False,"Jan 18, 2008",Cardiovascular,C03AA
2028-08-03,TOBRADEX ST,DEXAMETHASONE; TOBRAMYCIN,HARROW EYE LLC,050818,3,False,"Feb 13, 2009",Eye & ear,S01AA
2028-08-05,RECLAST,ZOLEDRONIC ACID,SANDOZ INC,021817,2,False,"Apr 16, 2007",Musculoskeletal,M05BA
2028-08-06,SYNDROS,DRONABINOL,WELLHOUSE PHARMA LLC,205525,4,True,"Mar 23, 2017",Metabolism & digestive,A04AD
2028-08-08,CAPRELSA,VANDETANIB,GENZYME CORP,022405,2,False,"Apr 6, 2011",Cancer,L01EX
2028-08-12,ROXYBOND,OXYCODONE HYDROCHLORIDE,PROTEGA PHARMACEUTICALS INC,209777,8,False,"Apr 20, 2017",Pain,N02AA
2028-08-12,MORPHABOND ER,MORPHINE SULFATE,OHEMO LIFE SCIENCES INC,206544,8,False,"Oct 2, 2015",Pain,N02AA
2028-08-21,XELJANZ,TOFACITINIB CITRATE,PF PRISM CV,203214,4,True,"Nov 6, 2012",Immunology,L04AF
2028-08-21,XELJANZ,TOFACITINIB CITRATE,PFIZER INC,213082,2,True,"Sep 25, 2020",Immunology,L04AF
2028-08-23,FORFIVO XL,BUPROPION HYDROCHLORIDE,TWI PHARMACEUTICALS INC,022497,1,False,"Nov 10, 2011",Neurology & psychiatry,N06AX
2028-08-26,TWIRLA,ETHINYL ESTRADIOL; LEVONORGESTREL,AGILE THERAPEUTICS INC,204017,3,False,"Feb 14, 2020",Genitourinary & hormones,G03AA
2028-08-30,ENVARSUS XR,TACROLIMUS,VELOXIS PHARMACEUTICALS INC,206406,45,False,"Jul 10, 2015",Dermatology,D11AH
2028-09-01,TOPICORT,DESOXIMETASONE,SUN PHARMA CANADA INC,204141,2,False,"Apr 11, 2013",Dermatology,D07AC
2028-09-10,NEXAVAR,SORAFENIB TOSYLATE,BAYER HEALTHCARE PHARMACEUTICALS INC,021923,4,True,"Dec 20, 2005",Cancer,L01EX
2028-09-13,STIOLTO RESPIMAT,OLODATEROL HYDROCHLORIDE; TIOTROPIUM BROMIDE,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,206756,3,True,"May 21, 2015",Respiratory,R03AC
2028-09-16,VIZAMYL,FLUTEMETAMOL F-18,GE HEALTHCARE,203137,2,False,"Oct 25, 2013",Various,V09AX
2028-09-17,KEPPRA XR,LEVETIRACETAM,UCB INC,022285,2,False,"Sep 12, 2008",Epilepsy,N03AX
2028-09-21,BYDUREON,EXENATIDE SYNTHETIC,ASTRAZENECA AB,022200,72,True,"Jan 27, 2012",Diabetes,A10BJ
2028-10-03,ONMEL,ITRACONAZOLE,SEBELA IRELAND LTD,022484,1,False,"Apr 29, 2010",Infectious disease,J02AC
2028-10-10,PREPOPIK,CITRIC ACID; MAGNESIUM OXIDE; SODIUM PICOSULFATE,FERRING PHARMACEUTICALS INC,202535,2,False,"Jul 16, 2012",Metabolism & digestive,A02AA
2028-10-11,FLO-PRED,PREDNISOLONE ACETATE,SUN PHARMA CANADA INC,022067,4,False,"Jan 17, 2008",Eye & ear,S01BA
2028-10-11,ARCAPTA NEOHALER,INDACATEROL MALEATE,NOVARTIS PHARMACEUTICALS CORP,022383,1,False,"Jul 1, 2011",Respiratory,R03AC
2028-10-15,FLONASE SENSIMIST ALLERGY RELIEF,FLUTICASONE FUROATE,HALEON US HOLDINGS LLC,022051,3,False,"Aug 2, 2016",Respiratory,R01AD
2028-10-16,HEMANGEOL,PROPRANOLOL HYDROCHLORIDE,ETON PHARMACEUTICALS INC,205410,2,False,"Mar 14, 2014",Cardiovascular,C07AA
2028-10-20,UTIBRON NEOHALER,GLYCOPYRROLATE; INDACATEROL MALEATE,NOVARTIS PHARMACEUTICALS CORP,207930,2,False,"Oct 29, 2015",Respiratory,R03AC
2028-10-20,SEEBRI NEOHALER,GLYCOPYRROLATE,NOVARTIS PHARMACEUTICALS CORP,207923,2,False,"Oct 29, 2015",Dermatology,D11AA
2028-11-05,OLUX E,CLOBETASOL PROPIONATE,PHARMOBEDIENT CONSULTING LLC,022013,1,False,"Jan 12, 2007",Dermatology,D07AD
2028-11-07,ILUVIEN,FLUOCINOLONE ACETONIDE,ALIMERA SCIENCES INC,201923,3,False,"Sep 26, 2014",Eye & ear,S01BA
2028-11-30,ONGLYZA,SAXAGLIPTIN HYDROCHLORIDE,ASTRAZENECA AB,022350,2,False,"Jul 31, 2009",Diabetes,A10BD
2028-12-05,LOSEASONIQUE,ETHINYL ESTRADIOL; LEVONORGESTREL,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D INC,022262,1,False,"Oct 24, 2008",Genitourinary & hormones,G03AA
2028-12-05,SEASONIQUE,ETHINYL ESTRADIOL; LEVONORGESTREL,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D INC,021840,1,False,"May 25, 2006",Genitourinary & hormones,G03AA
2028-12-13,ADDYI,FLIBANSERIN,SPROUT PHARMACEUTICALS INC,022526,1,False,"Aug 18, 2015",Genitourinary & hormones,G02CX
2028-12-14,SUPRAX,CEFIXIME,LUPIN LTD,202091,1,False,"Feb 20, 2013",Infectious disease,J01DD
2028-12-15,ERIVEDGE,VISMODEGIB,GENENTECH INC,203388,2,True,"Jan 30, 2012",Cancer,L01XJ
2028-12-15,REMODULIN,TREPROSTINIL,UNITED THERAPEUTICS CORP,208276,4,True,"Jul 30, 2018",Blood,B01AC
2028-12-23,STAXYN,VARDENAFIL HYDROCHLORIDE,BAYER HEALTHCARE PHARMACEUTICALS INC,200179,1,False,"Jun 17, 2010",Genitourinary & hormones,G04BE
2028-12-26,RYTARY,CARBIDOPA; LEVODOPA,IMPAX LABORATORIES LLC,203312,60,False,"Jan 7, 2015",Parkinson's,N04BA
2029-01-07,LAMICTAL XR,LAMOTRIGINE,GLAXOSMITHKLINE LLC,022115,6,False,"May 29, 2009",Epilepsy,N03AX
2029-01-21,JANUMET,METFORMIN HYDROCHLORIDE; SITAGLIPTIN PHOSPHATE,MERCK SHARP AND DOHME LLC A SUB OF MERCK AND CO INC,022044,8,True,"Mar 30, 2007",Diabetes,A10BA
2029-01-27,ANGIOMAX,BIVALIRUDIN,SANDOZ INC,020873,4,False,"Dec 15, 2000",Blood,B01AE
2029-01-30,LYMPHOSEEK KIT,TECHNETIUM TC-99M TILMANOCEPT,CARDINAL HEALTH 414 LLC CARDINAL HEALTH NUCLEAR PHARMACY SERVICES,202207,1,False,"Mar 13, 2013",Unclassified,
2029-02-02,LO LOESTRIN FE,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,ALLERGAN PHARMACEUTICALS INTERNATIONAL LTD,022501,1,False,"Oct 21, 2010",Genitourinary & hormones,G03AA
2029-02-02,LO MINASTRIN FE,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,ALLERGAN PHARMACEUTICALS INTERNATIONAL LTD,204654,1,False,"Jul 24, 2013",Genitourinary & hormones,G03AA
2029-02-03,ACTOPLUS MET,METFORMIN HYDROCHLORIDE; PIOGLITAZONE HYDROCHLORIDE,TAKEDA PHARMACEUTICALS USA INC,021842,4,False,"Aug 29, 2005",Diabetes,A10BA
2029-02-17,COLCRYS,COLCHICINE,TAKEDA PHARMACEUTICALS USA INC,022352,17,False,"Jul 29, 2009",Musculoskeletal,M04AC
2029-02-21,VYZULTA,LATANOPROSTENE BUNOD,BAUSCH AND LOMB INC,207795,1,True,"Nov 2, 2017",Eye & ear,S01EE
2029-02-24,ZIPSOR,DICLOFENAC POTASSIUM,COSETTE PHARMACEUTICALS INC,022202,6,False,"Jun 16, 2009",Musculoskeletal,M01AB
2029-02-28,FINACEA,AZELAIC ACID,LEO PHARMA AS,207071,4,False,"Jul 29, 2015",Dermatology,D10AX
2029-03-05,BROMSITE,BROMFENAC SODIUM,SUN PHARMACEUTICAL INDUSTRIES LTD,206911,1,False,"Apr 8, 2016",Eye & ear,S01BC
